File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF835SMB	bed narrowPeak	peaks	ENCSR366YTD	DNase-seq	CL:0000084	T-cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF575XDP, ENCFF967OQF	555899	ENCODE Processing Pipeline	2190f25ceb317520099326543c81ad5f		https://www.encodeproject.org/files/ENCFF835SMB/@@download/ENCFF835SMB.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/0eae804c-bd4a-4809-b676-5838da4edf98/ENCFF835SMB.bed.gz				
ENCFF216NXR	bed narrowPeak	peaks	ENCSR366YTD	DNase-seq	CL:0000084	T-cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF070VVE, ENCFF390DNP	553961	ENCODE Processing Pipeline	3c877c2f69bfce245e154e390c294046		https://www.encodeproject.org/files/ENCFF216NXR/@@download/ENCFF216NXR.bed.gz	hg19				released	s3://encode-public/2018/05/14/2c47262c-5578-45ee-b980-bf6b8a9b594c/ENCFF216NXR.bed.gz				
ENCFF410MHQ	bed narrowPeak	peaks	ENCSR366YTD	DNase-seq	CL:0000084	T-cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF548SEN, ENCFF992CZQ	556823	ENCODE Processing Pipeline	d58a80cfda1a60c463c2e43dcd6aabdc		https://www.encodeproject.org/files/ENCFF410MHQ/@@download/ENCFF410MHQ.bed.gz	GRCh38				archived	s3://encode-public/2016/11/18/53f4943f-028b-485f-9d87-be89aa9266e1/ENCFF410MHQ.bed.gz				
ENCFF286UIJ	bed narrowPeak	peaks	ENCSR366YTD	DNase-seq	CL:0000084	T-cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF509MFT	552967	ENCODE Processing Pipeline	0acbb87d79d8ee7a3cd0cfb8c69f9b3d		https://www.encodeproject.org/files/ENCFF286UIJ/@@download/ENCFF286UIJ.bed.gz	hg19				archived	s3://encode-public/2016/11/18/662ec212-e9d4-4585-b9f1-eb8e9e836247/ENCFF286UIJ.bed.gz				
ENCFF046KTX	bed narrowPeak	peaks	ENCSR366YTD	DNase-seq	CL:0000084	T-cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF575XDP, ENCFF967OQF	557007	ENCODE Processing Pipeline	2f2be1b50f46f24f30951be39ebe67e8		https://www.encodeproject.org/files/ENCFF046KTX/@@download/ENCFF046KTX.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/bb30cbc6-dc3a-417c-b299-4b43a65cbf30/ENCFF046KTX.bed.gz				
ENCFF537AWN	bed narrowPeak	peaks	ENCSR366YTD	DNase-seq	CL:0000084	T-cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF070VVE, ENCFF390DNP	553787	ENCODE Processing Pipeline	9c0f0d0b3c5ca81cf7f9f40a841c652b		https://www.encodeproject.org/files/ENCFF537AWN/@@download/ENCFF537AWN.bed.gz	hg19				archived	s3://encode-public/2017/09/19/c0aa05bc-3691-490e-85c4-952c644c9d76/ENCFF537AWN.bed.gz				
ENCFF335ZUW	bed narrowPeak	peaks	ENCSR360LBD	DNase-seq	NTR:0000524	fibroblast of skin of scalp	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF337DTQ, ENCFF967OQF	1120278	ENCODE Processing Pipeline	20ac702ee8d42a7aade5abee200b5676		https://www.encodeproject.org/files/ENCFF335ZUW/@@download/ENCFF335ZUW.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/60cc52e8-baa0-4a22-ad79-30cd6daa4ab9/ENCFF335ZUW.bed.gz				
ENCFF594OFO	bed narrowPeak	peaks	ENCSR360LBD	DNase-seq	NTR:0000524	fibroblast of skin of scalp	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF375OLV, ENCFF390DNP	1117570	ENCODE Processing Pipeline	c17efbc24c8d025466351dbf1688ccd8		https://www.encodeproject.org/files/ENCFF594OFO/@@download/ENCFF594OFO.bed.gz	hg19				released	s3://encode-public/2018/05/14/d9381f7c-067d-4862-805f-d617140d8dc0/ENCFF594OFO.bed.gz				
ENCFF419STH	bed narrowPeak	peaks	ENCSR360LBD	DNase-seq	NTR:0000524	fibroblast of skin of scalp	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF559CKW, ENCFF992CZQ	1084590	ENCODE Processing Pipeline	2307912b7e78b35115b081dddcf9fc25		https://www.encodeproject.org/files/ENCFF419STH/@@download/ENCFF419STH.bed.gz	GRCh38				archived	s3://encode-public/2016/11/03/cab0141f-895a-47fd-b569-5526a061c998/ENCFF419STH.bed.gz				
ENCFF786BNQ	bed narrowPeak	peaks	ENCSR360LBD	DNase-seq	NTR:0000524	fibroblast of skin of scalp	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF457EDA	1079873	ENCODE Processing Pipeline	5a53835032855402949fca6b34be8190		https://www.encodeproject.org/files/ENCFF786BNQ/@@download/ENCFF786BNQ.bed.gz	hg19				archived	s3://encode-public/2016/11/03/515576b3-cfbf-4575-8950-b8b493440499/ENCFF786BNQ.bed.gz				
ENCFF799TYV	bed narrowPeak	peaks	ENCSR360LBD	DNase-seq	NTR:0000524	fibroblast of skin of scalp	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF337DTQ, ENCFF967OQF	1121566	ENCODE Processing Pipeline	0c8ebec0341bebd6d9cb24f2420ffeb9		https://www.encodeproject.org/files/ENCFF799TYV/@@download/ENCFF799TYV.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/e8d552ae-d26b-44d3-920e-94f76d869890/ENCFF799TYV.bed.gz				
ENCFF862JLT	bed narrowPeak	peaks	ENCSR360LBD	DNase-seq	NTR:0000524	fibroblast of skin of scalp	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF375OLV, ENCFF390DNP	1117951	ENCODE Processing Pipeline	4260d4110003372d70a8e5d8b2241ba6		https://www.encodeproject.org/files/ENCFF862JLT/@@download/ENCFF862JLT.bed.gz	hg19				archived	s3://encode-public/2017/09/19/0865f17d-70e0-4e48-a6f7-e8fe84ea831a/ENCFF862JLT.bed.gz				
ENCFF510UYU	bed narrowPeak	peaks	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF307JMF, ENCFF967OQF	941959	ENCODE Processing Pipeline	5e6a643ae6bda4c6f9a1dca29e63ed9c		https://www.encodeproject.org/files/ENCFF510UYU/@@download/ENCFF510UYU.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/38eb98c0-8cd6-4109-b198-f846dbc6baff/ENCFF510UYU.bed.gz				
