File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF350RPE	bigWig	read-depth normalized signal	ENCSR888UPQ	DNase-seq	UBERON:0002370	thymus	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF576ISP	585102321	ENCODE Processing Pipeline	e19173cf8d49596cbe1f9dc2c8c2e2ac		https://www.encodeproject.org/files/ENCFF350RPE/@@download/ENCFF350RPE.bigWig	GRCh38				released	s3://encode-public/2017/09/18/aa614672-3581-4740-ac65-95b2a511312c/ENCFF350RPE.bigWig	low spot score, low read depth			
ENCFF319MXZ	bigWig	read-depth normalized signal	ENCSR888UPQ	DNase-seq	UBERON:0002370	thymus	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF487IUY	588135094	ENCODE Processing Pipeline	524044e6cd805d044835f8cdc2f2db85		https://www.encodeproject.org/files/ENCFF319MXZ/@@download/ENCFF319MXZ.bigWig	hg19				released	s3://encode-public/2017/09/19/62d9c06f-34f8-4e46-8b3f-417de3eae828/ENCFF319MXZ.bigWig	low spot score, low read depth			
ENCFF000SPM	bigWig	base overlap signal	ENCSR000EJT	DNase-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE												991266105	Gregory Crawford, Duke	c5657fd44594012d40ca87bed1087ab2		https://www.encodeproject.org/files/ENCFF000SPM/@@download/ENCFF000SPM.bigWig	hg19				archived	s3://encode-public/2011/01/11/97b00f28-3962-446a-8b72-cc2c302137aa/ENCFF000SPM.bigWig	low spot score, low read depth	missing derived_from	insufficient read length	
ENCFF000SPY	bigWig	signal	ENCSR000EJT	DNase-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE												3582170253	Gregory Crawford, Duke	d943806e70cbe77a665a52fa60307493		https://www.encodeproject.org/files/ENCFF000SPY/@@download/ENCFF000SPY.bigWig	hg19				archived	s3://encode-public/2011/01/11/27796f14-c3db-40a8-8efd-cecd9e000d2e/ENCFF000SPY.bigWig	low spot score, low read depth	missing derived_from	insufficient read length	
ENCFF050BDU	bigWig	read-depth normalized signal	ENCSR000EJT	DNase-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF342EWC	619039065	ENCODE Processing Pipeline	7ccb214deeac0b8da2b9465d4dc28b5b		https://www.encodeproject.org/files/ENCFF050BDU/@@download/ENCFF050BDU.bigWig	GRCh38				released	s3://encode-public/2018/05/04/281c327b-818b-4c83-8bbb-3b83b480837a/ENCFF050BDU.bigWig	low spot score, low read depth		insufficient read length	
ENCFF830TNF	bigWig	read-depth normalized signal	ENCSR000EJT	DNase-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF867ALU	622387802	ENCODE Processing Pipeline	0af52d937671ce218af04c82cf32323f		https://www.encodeproject.org/files/ENCFF830TNF/@@download/ENCFF830TNF.bigWig	hg19				released	s3://encode-public/2017/10/05/43f2a753-cdfd-4519-8698-8dd7c149b0ed/ENCFF830TNF.bigWig	low spot score, low read depth		insufficient read length	
ENCFF103KGP	bigWig	read-depth normalized signal	ENCSR191EII	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF354YDR	721242343	ENCODE Processing Pipeline	8f97c678d2c45755c9cf3ee8dcb2e0dd		https://www.encodeproject.org/files/ENCFF103KGP/@@download/ENCFF103KGP.bigWig	GRCh38				released	s3://encode-public/2017/09/25/a81a5f5a-fcfd-4eeb-a752-acc2458a34a6/ENCFF103KGP.bigWig				
ENCFF053MMC	bigWig	read-depth normalized signal	ENCSR191EII	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF134NUT	720717800	ENCODE Processing Pipeline	17019b3627c8af486f9feeb0825fa3fa		https://www.encodeproject.org/files/ENCFF053MMC/@@download/ENCFF053MMC.bigWig	hg19				released	s3://encode-public/2017/09/27/b35a13d8-e1b2-4562-989f-4c38b943125b/ENCFF053MMC.bigWig				
ENCFF906KHN	bigWig	read-depth normalized signal	ENCSR622CAH	DNase-seq	UBERON:0001383	muscle of leg	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF458BGJ	555088919	ENCODE Processing Pipeline	9bbfa5ace503135e91b66c4c871803c1		https://www.encodeproject.org/files/ENCFF906KHN/@@download/ENCFF906KHN.bigWig	GRCh38				released	s3://encode-public/2017/09/18/0e6cf730-1056-417f-8d8c-f38be564fae3/ENCFF906KHN.bigWig	low read depth			
ENCFF771MJJ	bigWig	read-depth normalized signal	ENCSR622CAH	DNase-seq	UBERON:0001383	muscle of leg	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF678XNA	552899191	ENCODE Processing Pipeline	a3bf11dbe8331dc2b0223936b5d551ef		https://www.encodeproject.org/files/ENCFF771MJJ/@@download/ENCFF771MJJ.bigWig	hg19				released	s3://encode-public/2017/09/19/9e47ecd2-4dd9-4de3-b04c-7a1b2274a52e/ENCFF771MJJ.bigWig	low read depth			
